قيمة - ريال,الوزن الصافي بالكيلو,رمز التعرفة 4 خانات,السنة,الربع,الدولة
62829.5216,518.48,7222,2025,Q2-2025,اليابان
3396029.32,527110.026,4013,2025,Q2-2025,الصين
10598.68,24850,0701,2025,Q2-2025,فرنسا
6826.08,34.7,8310,2025,Q2-2025,صربيا
11919.16,121,8102,2025,Q2-2025,ألمانيا
278466071.53,47673.344,3002,2025,Q2-2025,ألمانيا
480.63,26.13,6105,2025,Q2-2025,سلفادور
981.59,50,8208,2025,Q2-2025,اليونان
886900,175000,3904,2025,Q2-2025,قطر
17314.99,535,4418,2025,Q2-2025,أوروبا
1869236.96,62980,1604,2025,Q2-2025,النرويج
1067771.39,52170.62,2101,2025,Q2-2025,روسيا
9107.68,35,9019,2025,Q2-2025,لاتفيا
8862.06,3000,2517,2025,Q2-2025,أستراليا
596.54,350.4,1108,2025,Q2-2025,البحرين
2029.25,250,8606,2025,Q2-2025,الهند
21394182.9,1324524,2839,2025,Q2-2025,الصين
15317.1,324,8307,2025,Q2-2025,عمان
537393.15,204100,2511,2025,Q2-2025,هولندا
128522,33076,7321,2025,Q2-2025,اليمن
88429.69,81,8113,2025,Q2-2025,الولايات المتحدة
130254.39,951.13,9507,2025,Q2-2025,الفلبين
59567.8,3562.53,2103,2025,Q2-2025,إيرلندا
13651.93,41.5,8412,2025,Q2-2025,سريلانكا
119.73,4,2201,2025,Q2-2025,ألمانيا
133705.07,278,8456,2025,Q2-2025,مكسيك
20869.73,3.9,3906,2025,Q2-2025,كندا
316696.97,14927,7605,2025,Q2-2025,إيطاليا
194318.59,23960,7602,2025,Q2-2025,جامبيا
221582.34,3934.65,9402,2025,Q2-2025,الهند
2582206.08,347448.336,2202,2025,Q2-2025,إيطاليا
3747.59,2,6112,2025,Q2-2025,بولندا
1204165.66,173832.2,2008,2025,Q2-2025,مصر
4791994.96,536343.24,3906,2025,Q2-2025,تايوان
181161.12,53.203,8548,2025,Q2-2025,الولايات المتحدة
99807.44,3596.33,4414,2025,Q2-2025,تركيا
13399025.43,632060.889,8516,2025,Q2-2025,مكسيك
69032.1633,343.113,6104,2025,Q2-2025,كينيا
895211.55,161109.4,2009,2025,Q2-2025,جنوب إفريقيا
481131.76,12283.66,7907,2025,Q2-2025,المملكة المتحدة
8498.4659,240.392,4818,2025,Q2-2025,بولندا
13354.21,50,7419,2025,Q2-2025,رومانيا
424427616.31,558660.628,9018,2025,Q2-2025,الولايات المتحدة
208.5,0.001,2937,2025,Q2-2025,سويسرا
89071.12,740.393,4202,2025,Q2-2025,كندا
2645519.432,152783.941,3405,2025,Q2-2025,الولايات المتحدة
170667.87,64445.508,1101,2025,Q2-2025,المملكة المتحدة
1391029.54,12492.61,7507,2025,Q2-2025,الهند
27554.53,2836,0803,2025,Q2-2025,أوغندا
32620.5,170,3910,2025,Q2-2025,أوروبا
9078.64,229,0711,2025,Q2-2025,هولندا
388400,23936,6002,2025,Q2-2025,الإمارات
141325.45,24064.9,1901,2025,Q2-2025,بلغاريا
